id,value,key,type
3996182,Monikastraße,name,regular
3996182,survey,source,regular
3996182,asphalt,surface,regular
3997140,Ottobrunn;Höhenkirchen;Brunnthal,destination,regular
3997140,motorway_link,highway,regular
3997140,1,lanes,regular
3997140,yes,oneway,regular
3997140,good,smoothness,regular
3997140,asphalt,surface,regular
4000637,parking,amenity,regular
4000637,JOSM,created_by,regular
4003733,track,highway,regular
4003733,asphalt,surface,regular
4003733,grade1,tracktype,regular
4005487,residential,highway,regular
4005487,yes,lit,regular
4005487,30,maxspeed,regular
4005487,Wiesbachhornstraße,name,regular
4005795,drain,waterway,regular
4005795,0.5,width,regular
4009456,use_sidepath,bicycle,regular
4009456,use_sidepath,foot,regular
4009456,tertiary,highway,regular
4009456,50,maxspeed,regular
4009456,Ridlerstraße,name,regular
4009456,parallel,lane:both,parking
4009456,shoulder,lane:both:parallel,parking
4009456,asphalt,surface,regular
4016228,pedestrian,highway,regular
4016228,yes,lit,regular
4016228,Filserbräugasse,name,regular
4016228,paving_stones,surface,regular
4016944,residential,highway,regular
4016944,yes,lit,regular
4016944,30,maxspeed,regular
4016944,Ruppanerstraße,name,regular
4016944,both,sidewalk,regular
4016944,DE:zone:30,maxspeed,source
4016944,asphalt,surface,regular
4016972,residential,highway,regular
4016972,yes,lit,regular
4016972,30,maxspeed,regular
4016972,Deikestraße,name,regular
4020028,residential,highway,regular
4020028,2,lanes,regular
4020028,yes,lit,regular
4020028,30,maxspeed,regular
4020028,Oberländerstraße,name,regular
4020028,yes,oneway,regular
4020028,asphalt,surface,regular
4041978,footway,highway,regular
4042898,track,cycleway,regular
4042898,residential,highway,regular
4042898,30,maxspeed,regular
4042898,Nibelungenstraße,name,regular
4042898,asphalt,surface,regular
4045921,unclassified,highway,regular
4045921,1,lanes,regular
4045921,50,maxspeed,regular
4045921,Kirchheimer Allee,name,regular
4045921,yes,oneway,regular
4045921,good,smoothness,regular
4045921,asphalt,surface,regular
4046200,unclassified,highway,regular
4046200,50,maxspeed,regular
4046200,sign,type,maxspeed
4046200,Beta-Straße,name,regular
4046200,asphalt,surface,regular
4046466,residential,highway,regular
4046466,30,maxspeed,regular
4046466,Weidachstraße,name,regular
4046466,no,oneway,regular
4046466,DE:30,maxspeed,zone
4046739,service,highway,regular
4046739,parking_aisle,service,regular
4047012,unclassified,highway,regular
4047012,60,maxspeed,regular
4047012,7.5,maxweight,regular
4047012,Goldacher Straße,name,regular
4050409,tertiary,highway,regular
4050409,100,maxspeed,regular
4050409,ED 5,ref,regular
4050409,good,smoothness,regular
4050409,DE:rural,maxspeed,source
4050409,asphalt,surface,regular
4050409,DE:46962/46963,tmc,regular
4054816,Area,TMC:cid_58:tabcd_1:Class,regular
4054816,9.00,TMC:cid_58:tabcd_1:LCLversion,regular
4054816,35285,TMC:cid_58:tabcd_1:LocationCode,regular
4054816,München,city,addr
4054816,DE,country,addr
4054816,train_station,building,regular
4054816,6,levels,building
4054816,20,height,regular
4054816,0,level,regular
4054816,München Hauptbahnhof,name,regular
4054816,Gare centrale de Munich,fr,name
4054816,station,public_transport,regular
4054816,MH,ref,railway
4054816,1,station_category,railway
4054816,de:München Hauptbahnhof,wikipedia,regular
4055408,residential,highway,regular
4055408,yes,lit,regular
4055408,30,maxspeed,regular
4055408,Hardenbergstraße,name,regular
4055408,asphalt,surface,regular
4055574,track,right,cycleway
4055574,residential,highway,regular
4055574,yes,lit,regular
4055574,50,maxspeed,regular
4055574,right,sidewalk,regular
4055574,good,smoothness,regular
4055574,asphalt,surface,regular
4055574,DE:urban,traffic,zone
4055698,residential,highway,regular
4055698,yes,lit,regular
4055698,30,maxspeed,regular
4055698,Denkenhofstraße,name,regular
4055698,both,sidewalk,regular
4055698,asphalt,surface,regular
4055868,yes,bicycle,regular
4055868,yes,foot,regular
4055868,cycleway,highway,regular
4055868,asphalt,surface,regular
4056132,opposite,cycleway,regular
4056132,residential,highway,regular
4056132,Hornstraße,name,regular
4056132,yes,oneway,regular
4056132,asphalt,surface,regular
4056251,residential,highway,regular
4056251,30,maxspeed,regular
4056251,Gartenstraße,name,regular
4056251,82544,postal_code,regular
4056251,asphalt,surface,regular
4056251,5,width,regular
4056338,tertiary,highway,regular
4056338,50,maxspeed,regular
4056338,Adalbert-Stifter-Straße,name,regular
4056338,asphalt,surface,regular
4056425,residential,highway,regular
4056425,Ötzstraße,name,regular
4056590,tertiary,highway,regular
4056590,2,lanes,regular
4056590,50,maxspeed,regular
4056590,Römerstraße,name,regular
4056590,MB 3,ref,regular
4056590,right,sidewalk,regular
4056590,good,smoothness,regular
4056590,DE:urban,maxspeed,source
4056590,asphalt,surface,regular
4056590,DE:urban,traffic,zone
4056745,secondary,highway,regular
4056745,2,lanes,regular
4056745,no,lit,regular
4056745,80,maxspeed,regular
4056745,St 2078,ref,regular
4056745,good,smoothness,regular
4056745,asphalt,surface,regular
4056745,DE:27499/27500,tmc,regular
4058984,residential,highway,regular
4058984,30,maxspeed,regular
4058984,Kriemhildenstraße,name,regular
4058984,no,oneway,regular
4058984,both,sidewalk,regular
4058984,intermediate,smoothness,regular
4058984,sett,surface,regular
4059729,residential,highway,regular
4059729,yes,lit,regular
4059729,Carl-Benz-Straße,name,regular
4059729,asphalt,surface,regular
4060552,no,water,hazmat
4060552,tertiary,highway,regular
4060552,2,lanes,regular
4060552,no,lit,regular
4060552,80,maxspeed,regular
4060552,16,maxweight,regular
4060552,M 9,ref,regular
4060552,good,smoothness,regular
4060552,asphalt,surface,regular
4061795,trunk_link,highway,regular
4061795,2,lanes,regular
4061795,yes,oneway,regular
4062183,service,highway,regular
4062183,parking_aisle,service,regular
4066048,residential,highway,regular
4066048,2,lanes,regular
4066048,yes,lit,regular
4066048,30,maxspeed,regular
4066048,Waldvögeleinstraße,name,regular
4066048,no,oneway,regular
4066048,parallel,lane:both,parking
4066048,no,sidewalk,regular
4066048,asphalt,surface,regular
4066297,use_sidepath,bicycle,regular
4066297,use_sidepath,foot,regular
4066297,trunk_link,highway,regular
4066297,1,lanes,regular
4066297,50,maxspeed,regular
4066297,Leuchtenbergring,name,regular
4066297,yes,oneway,regular
4066297,good,smoothness,regular
4066297,asphalt,surface,regular
4073020,sports_centre,leisure,regular
4073020,Sportpark,name,regular
4074167,opposite,cycleway,regular
4074167,residential,highway,regular
4074167,yes,lit,regular
4074167,30,maxspeed,regular
4074167,Westendstraße,name,regular
4074167,yes,oneway,regular
4074167,both,sidewalk,regular
4074167,asphalt,surface,regular
4075203,yes,bridge,regular
4075203,no,both,cycleway
4075203,secondary,highway,regular
4075203,1,layer,regular
4075203,yes,lit,regular
4075203,DE:urban,type,maxspeed
4075203,Johanneskirchner Straße,name,regular
4075203,both,sidewalk,regular
4075203,yes,both:bicycle,sidewalk
4075203,asphalt,surface,regular
4075851,residential,highway,regular
4075851,roundabout,junction,regular
4075851,yes,lit,regular
4075851,30,maxspeed,regular
4075851,Jella-Lepman-Straße,name,regular
4075851,asphalt,surface,regular
4076446,residential,highway,regular
4076446,yes,lit,regular
4076446,30,maxspeed,regular
4076446,Jella-Lepman-Straße,name,regular
4076446,perpendicular,lane:both,parking
4076446,asphalt,surface,regular
4077358,residential,highway,regular
